Comment,Designator,Footprint,LCSC Part #,MPN,Manufacturer,Quantity
47uF/50V,C1,CP_Elec_6.3x7.7,C970679,EEE-FK1H470XP,Panasonic,1
100nF,C2,C_0805_2012Metric,C49678,CL21B104KBCNNNC,Samsung,1
MMSZ5237B 8V2,"D1,D2,D3,D4,D9",D_SOD-123,C500790,MMSZ5237B-7-F,Diodes Inc,5
1.1A,F1,Fuse_1812_4532Metric,,MF-MSMF110/24X-2,Bourns,1
GRN,"LED1,LED2,LED3,LED4",LED_0805_2012Metric,C2297,LTST-C170KGKT,Lite-On,4
AO3401A,"Q1,Q2,Q3,Q4,Q9",SOT-23,C15127,AO3401A,Alpha & Omega,5
100k,"R6,R101,R201,R301,R401",R_0805_2012Metric,C17407,RC0805FR-07100KL,Yageo,5
4k7,"R102,R202,R302,R402",R_0805_2012Metric,C17673,RC0805FR-074K7L,Yageo,4
10k,"R103,R203,R303,R403",R_0805_2012Metric,C17414,RC0805FR-0710KL,Yageo,4
2k2,"R104,R204,R304,R404",R_0805_2012Metric,C17520,RC0805FR-072K2L,Yageo,4
470R,"R105,R205,R305,R405",R_0805_2012Metric,C17710,RC0805FR-07470RL,Yageo,4
SMAJ30A,TVS1,D_SMA,C134979,SMAJ30A,Littelfuse,1
LTV-817S (CTR B),"U1,U2,U3,U4",SOP-4_7.5x4.1mm_P2.54mm,C109227,LTV-817S-TA1-B,Lite-On,4
