Designator,Mid X,Mid Y,Layer,Rotation
C1,46,-72,top,180
C2,56,-72,top,0
D1,17,-51,top,180
D2,32,-51,top,180
D3,47,-51,top,180
D4,62,-51,top,180
D9,30,-66,top,0
F1,14,-72,top,0
LED1,9,-59,top,90
LED2,24,-59,top,90
LED3,39,-59,top,90
LED4,54,-59,top,90
Q1,9,-47,top,0
Q2,24,-47,top,0
Q3,39,-47,top,0
Q4,54,-47,top,0
Q9,24,-72,top,180
R6,20,-66,top,0
R101,17,-55,top,180
R102,17,-47,top,90
R103,9,-51,top,270
R104,9,-55,top,270
R105,13,-27,top,0
R201,32,-55,top,180
R202,32,-47,top,90
R203,24,-51,top,270
R204,24,-55,top,270
R205,28,-27,top,0
R301,47,-55,top,180
R302,47,-47,top,90
R303,39,-51,top,270
R304,39,-55,top,270
R305,43,-27,top,0
R401,62,-55,top,180
R402,62,-47,top,90
R403,54,-51,top,270
R404,54,-55,top,270
R405,58,-27,top,0
TVS1,34,-72,top,0
U1,13,-36.5,top,180
U2,28,-36.5,top,180
U3,43,-36.5,top,180
U4,58,-36.5,top,180
