Reference,Qty,Value,DNP,Manufacturer,MPN
C1,1,47uF/50V,,Panasonic,EEE-FK1H470XP
C2,1,100nF,,Samsung,CL21B104KBCNNNC
"D1,D2,D3,D4,D9",5,MMSZ5237B 8V2,,Diodes Inc,MMSZ5237B-7-F
F1,1,1.1A,,Bourns,MF-MSMF110/24X-2
J1,1,V+ IN 5-24V,,Phoenix Contact,1729128
J2,1,OUT 1-4,,Phoenix Contact,1727052
J4,1,Pico 1-20,,Sullins,PPTC201LFBN-RC
J5,1,Pico 21-40,,Sullins,PPTC201LFBN-RC
"LED1,LED2,LED3,LED4",4,GRN,,Lite-On,LTST-C170KGKT
"Q1,Q2,Q3,Q4,Q9",5,AO3401A,,Alpha & Omega,AO3401A
"R6,R101,R201,R301,R401",5,100k,,Yageo,RC0805FR-07100KL
"R102,R202,R302,R402",4,4k7,,Yageo,RC0805FR-074K7L
"R103,R203,R303,R403",4,10k,,Yageo,RC0805FR-0710KL
"R104,R204,R304,R404",4,2k2,,Yageo,RC0805FR-072K2L
"R105,R205,R305,R405",4,470R,,Yageo,RC0805FR-07470RL
TVS1,1,SMAJ30A,,Littelfuse,SMAJ30A
"U1,U2,U3,U4",4,LTV-817S (CTR B),,Lite-On,LTV-817S-TA1-B
