Designator,Mid X,Mid Y,Layer,Rotation
C1,62,-92,top,0
C2,72,-92,top,0
D1,15,-56,top,0
D2,31,-56,top,0
D3,47,-56,top,0
D4,63,-56,top,0
D5,79,-56,top,0
D6,95,-56,top,0
D7,111,-56,top,0
D8,127,-56,top,0
D9,46,-86,top,180
F1,28,-92,top,0
LED1,15,-80,top,0
LED2,31,-80,top,0
LED3,47,-80,top,0
LED4,63,-80,top,0
LED5,79,-80,top,0
LED6,95,-80,top,0
LED7,111,-80,top,0
LED8,127,-80,top,0
Q1,15,-62,top,-90
Q2,31,-62,top,-90
Q3,47,-62,top,-90
Q4,63,-62,top,-90
Q5,79,-62,top,-90
Q6,95,-62,top,-90
Q7,111,-62,top,-90
Q8,127,-62,top,-90
Q9,38,-92,top,0
R6,34,-86,top,0
R101,15,-68,top,0
R102,15,-50,top,180
R103,15,-72,top,0
R104,15,-76,top,0
R105,15,-32,top,0
R201,31,-68,top,0
R202,31,-50,top,180
R203,31,-72,top,0
R204,31,-76,top,0
R205,31,-32,top,0
R301,47,-68,top,0
R302,47,-50,top,180
R303,47,-72,top,0
R304,47,-76,top,0
R305,47,-32,top,0
R401,63,-68,top,0
R402,63,-50,top,180
R403,63,-72,top,0
R404,63,-76,top,0
R405,63,-32,top,0
R501,79,-68,top,0
R502,79,-50,top,180
R503,79,-72,top,0
R504,79,-76,top,0
R505,79,-32,top,0
R601,95,-68,top,0
R602,95,-50,top,180
R603,95,-72,top,0
R604,95,-76,top,0
R605,95,-32,top,0
R701,111,-68,top,0
R702,111,-50,top,180
R703,111,-72,top,0
R704,111,-76,top,0
R705,111,-32,top,0
R801,127,-68,top,0
R802,127,-50,top,180
R803,127,-72,top,0
R804,127,-76,top,0
R805,127,-32,top,0
TVS1,50,-92,top,0
U1,15,-40.5,top,-90
U2,31,-40.5,top,-90
U3,47,-40.5,top,-90
U4,63,-40.5,top,-90
U5,79,-40.5,top,-90
U6,95,-40.5,top,-90
U7,111,-40.5,top,-90
U8,127,-40.5,top,-90
