Ref,Val,Package,PosX,PosY,Rot,Side
"C1","","CP_Elec_8x10.5",62.000000,-92.000000,0.000000,top
"C2","","C_0805_2012Metric",72.000000,-92.000000,0.000000,top
"D1","","D_SOD-123",15.000000,-56.000000,0.000000,top
"D2","","D_SOD-123",31.000000,-56.000000,0.000000,top
"D3","","D_SOD-123",47.000000,-56.000000,0.000000,top
"D4","","D_SOD-123",63.000000,-56.000000,0.000000,top
"D5","","D_SOD-123",79.000000,-56.000000,0.000000,top
"D6","","D_SOD-123",95.000000,-56.000000,0.000000,top
"D7","","D_SOD-123",111.000000,-56.000000,0.000000,top
"D8","","D_SOD-123",127.000000,-56.000000,0.000000,top
"D9","","D_SOD-123",46.000000,-86.000000,180.000000,top
"F1","","Fuse_1812_4532Metric",28.000000,-92.000000,0.000000,top
"LED1","","LED_0805_2012Metric",15.000000,-80.000000,180.000000,top
"LED2","","LED_0805_2012Metric",31.000000,-80.000000,180.000000,top
"LED3","","LED_0805_2012Metric",47.000000,-80.000000,180.000000,top
"LED4","","LED_0805_2012Metric",63.000000,-80.000000,180.000000,top
"LED5","","LED_0805_2012Metric",79.000000,-80.000000,180.000000,top
"LED6","","LED_0805_2012Metric",95.000000,-80.000000,180.000000,top
"LED7","","LED_0805_2012Metric",111.000000,-80.000000,180.000000,top
"LED8","","LED_0805_2012Metric",127.000000,-80.000000,180.000000,top
"Q1","","SOT-23",15.000000,-62.000000,-90.000000,top
"Q2","","SOT-23",31.000000,-62.000000,-90.000000,top
"Q3","","SOT-23",47.000000,-62.000000,-90.000000,top
"Q4","","SOT-23",63.000000,-62.000000,-90.000000,top
"Q5","","SOT-23",79.000000,-62.000000,-90.000000,top
"Q6","","SOT-23",95.000000,-62.000000,-90.000000,top
"Q7","","SOT-23",111.000000,-62.000000,-90.000000,top
"Q8","","SOT-23",127.000000,-62.000000,-90.000000,top
"Q9","","SOT-23",38.000000,-92.000000,0.000000,top
"R6","","R_0805_2012Metric",34.000000,-86.000000,0.000000,top
"R101","","R_0805_2012Metric",15.000000,-68.000000,0.000000,top
"R102","","R_0805_2012Metric",15.000000,-50.000000,180.000000,top
"R103","","R_0805_2012Metric",15.000000,-72.000000,0.000000,top
"R104","","R_0805_2012Metric",15.000000,-76.000000,0.000000,top
"R105","","R_0805_2012Metric",15.000000,-32.000000,0.000000,top
"R201","","R_0805_2012Metric",31.000000,-68.000000,0.000000,top
"R202","","R_0805_2012Metric",31.000000,-50.000000,180.000000,top
"R203","","R_0805_2012Metric",31.000000,-72.000000,0.000000,top
"R204","","R_0805_2012Metric",31.000000,-76.000000,0.000000,top
"R205","","R_0805_2012Metric",31.000000,-32.000000,0.000000,top
"R301","","R_0805_2012Metric",47.000000,-68.000000,0.000000,top
"R302","","R_0805_2012Metric",47.000000,-50.000000,180.000000,top
"R303","","R_0805_2012Metric",47.000000,-72.000000,0.000000,top
"R304","","R_0805_2012Metric",47.000000,-76.000000,0.000000,top
"R305","","R_0805_2012Metric",47.000000,-32.000000,0.000000,top
"R401","","R_0805_2012Metric",63.000000,-68.000000,0.000000,top
"R402","","R_0805_2012Metric",63.000000,-50.000000,180.000000,top
"R403","","R_0805_2012Metric",63.000000,-72.000000,0.000000,top
"R404","","R_0805_2012Metric",63.000000,-76.000000,0.000000,top
"R405","","R_0805_2012Metric",63.000000,-32.000000,0.000000,top
"R501","","R_0805_2012Metric",79.000000,-68.000000,0.000000,top
"R502","","R_0805_2012Metric",79.000000,-50.000000,180.000000,top
"R503","","R_0805_2012Metric",79.000000,-72.000000,0.000000,top
"R504","","R_0805_2012Metric",79.000000,-76.000000,0.000000,top
"R505","","R_0805_2012Metric",79.000000,-32.000000,0.000000,top
"R601","","R_0805_2012Metric",95.000000,-68.000000,0.000000,top
"R602","","R_0805_2012Metric",95.000000,-50.000000,180.000000,top
"R603","","R_0805_2012Metric",95.000000,-72.000000,0.000000,top
"R604","","R_0805_2012Metric",95.000000,-76.000000,0.000000,top
"R605","","R_0805_2012Metric",95.000000,-32.000000,0.000000,top
"R701","","R_0805_2012Metric",111.000000,-68.000000,0.000000,top
"R702","","R_0805_2012Metric",111.000000,-50.000000,180.000000,top
"R703","","R_0805_2012Metric",111.000000,-72.000000,0.000000,top
"R704","","R_0805_2012Metric",111.000000,-76.000000,0.000000,top
"R705","","R_0805_2012Metric",111.000000,-32.000000,0.000000,top
"R801","","R_0805_2012Metric",127.000000,-68.000000,0.000000,top
"R802","","R_0805_2012Metric",127.000000,-50.000000,180.000000,top
"R803","","R_0805_2012Metric",127.000000,-72.000000,0.000000,top
"R804","","R_0805_2012Metric",127.000000,-76.000000,0.000000,top
"R805","","R_0805_2012Metric",127.000000,-32.000000,0.000000,top
"TVS1","","D_SMA",50.000000,-92.000000,0.000000,top
"U1","","SOP-4_7.5x4.1mm_P2.54mm",15.000000,-40.500000,-90.000000,top
"U2","","SOP-4_7.5x4.1mm_P2.54mm",31.000000,-40.500000,-90.000000,top
"U3","","SOP-4_7.5x4.1mm_P2.54mm",47.000000,-40.500000,-90.000000,top
"U4","","SOP-4_7.5x4.1mm_P2.54mm",63.000000,-40.500000,-90.000000,top
"U5","","SOP-4_7.5x4.1mm_P2.54mm",79.000000,-40.500000,-90.000000,top
"U6","","SOP-4_7.5x4.1mm_P2.54mm",95.000000,-40.500000,-90.000000,top
"U7","","SOP-4_7.5x4.1mm_P2.54mm",111.000000,-40.500000,-90.000000,top
"U8","","SOP-4_7.5x4.1mm_P2.54mm",127.000000,-40.500000,-90.000000,top
